performance_tier,network_bandwidth,client_name,i_reliability,i_performance_factor,cpu,ram,expected_execution_time,data_ratio,discrepancy_level
1,27.02,blazing-manager,0.09876,0.93,4,16,160,0.00038316368140472063,0.229914310968108
0,0.0,massive-cluster,0.21366,1.1,16,64,40,0.00040245490841988885,0.3999536597809576
1,24.58,advanced-equity,0.05908,1.0,4,16,160,0.0001596515339186336,0.3048894281771445
1,28.36,novel-darter,0.2715,1.25,4,16,160,0.00023637296549619918,0.3768509533788434
2,7.63,jolly-facade,0.00788,1.07,8,32,80,0.00014058204514501903,0.2331758394299198
2,7.79,nervous-bell,0.11731,0.9,8,32,80,0.000274733681284982,0.768005468009646
0,12.58,synchronic-router,0.12335,0.61,16,64,40,0.0002299425564911431,0.3302817543669355
2,17.61,forgiving-storyboard,0.18728,0.96,8,32,80,0.00040245490841988885,0.4088209485736027
2,13.05,average-brass,0.18141,0.86,8,32,80,0.00012151255637140446,0.3208193788128755
2,14.21,coplanar-static,0.10064,1.08,8,32,80,0.00012151255637140446,0.451937556512576
0,11.84,nimble-can,0.09064,0.72,16,64,40,0.00022351214748608705,0.2544450744034227
1,8.24,bent-raid,0.03085,1.12,4,16,160,0.0001470124541500751,0.3443418304459271
2,9.69,succulent-instance,0.12109,1.06,8,32,80,2.57216360202243e-05,0.5194074340411391
0,22.43,mature-tournament,0.00172,0.94,16,64,40,1.286081801011215e-05,0.3399469262064935
1,14.2,savory-artillery,0.08001,0.88,4,16,160,0.00017251235192874574,0.3761442397095285
2,24.56,honest-deed,0.09977,1.02,8,32,80,0.00012772122713490688,0.3290599534052332
1,15.56,atomic-query,0.01568,1.2,4,16,160,1.286081801011215e-05,0.3158421209478884
1,12.81,beige-user,0.11225,1.34,4,16,160,1.286081801011215e-05,0.2801315509856704
0,24.31,late-bengal,0.12401,0.99,16,64,40,0.0003895940904097767,0.3194101070053165
2,16.47,dynamic-click,0.08474,0.85,8,32,80,0.0003769550106412182,0.3137189285546454
2,27.56,crispy-base,0.00338,0.65,8,32,80,0.00039602449941483276,0.3607529430749865
2,19.84,topped-command,0.51044,1.44,8,32,80,0.00039602449941483276,0.2519072486919007
1,1.72,icy-corolla,0.09998,1.17,4,16,160,0.0003640941926311061,0.3048937238737744
0,0.0,blazing-coverage,0.00489,0.77,16,64,40,0.000274733681284982,0.3562150484869359
2,8.31,sweet-interface,0.12327,1.25,8,32,80,8.315184058262166e-05,0.4887400764743096
1,23.5,counting-emerald,0.00018,1.03,4,16,160,5.122153379889495e-05,0.2906453508956864
0,3.87,juvenile-availability,0.00914,0.76,16,64,40,0.00035766378362605,0.4417408702313952
1,0.92,wide-tag,0.26917,0.68,4,16,160,5.765194280395102e-05,0.2693605487609019
1,17.35,planar-pit,0.02134,1.06,4,16,160,2.57216360202243e-05,0.1927476987984957
0,21.78,doughy-fork,0.08989,1.3,16,64,40,0.0001534428631551312,0.3287162279514339
0,32.97,curious-run,0.08318,0.97,16,64,40,0.00020444265871247247,0.4664037162514495
2,19.96,stringy-sonata,0.10943,0.99,8,32,80,1.286081801011215e-05,0.4751001619551269
0,12.97,average-hash,0.02476,1.02,16,64,40,0.00032573347684232326,0.3472988342766127
0,25.91,mild-recursion,0.10917,0.89,16,64,40,0.00040245490841988885,0.2861702237083841
2,12.58,sunny-draft,0.06398,1.34,8,32,80,0.00025544245426981375,0.4151263331518354
1,23.13,late-vault,0.1763,1.29,4,16,160,8.958224958767774e-05,0.5136477618191561
1,13.0,marked-envelope,0.1076,0.63,4,16,160,0.0001470124541500751,0.5846457693422095
1,22.61,snow-subset,0.05745,0.8,4,16,160,5.765194280395102e-05,0.2976881586331283
1,16.61,vain-italic,0.13675,0.9,4,16,160,0.00017894276093380183,0.2250577540133119
0,21.14,cruel-mason,0.02255,1.03,16,64,40,0.00014058204514501903,0.3887264403729714
0,23.63,huge-gate,0.07874,1.14,16,64,40,0.00033216388584737935,0.4317711949875597
0,12.55,bold-classifier,0.09863,0.98,16,64,40,0.0003640941926311061,0.3189021984952589
0,23.53,mild-list,0.04767,0.96,16,64,40,0.00012772122713490688,0.3402036144224136
1,29.81,metallic-font,0.02455,1.08,4,16,160,0.00025544245426981375,0.4223015863057229
2,34.03,bisque-poutine,0.17196,1.02,8,32,80,6.386061356745344e-05,0.5536907431942327
1,21.09,bisque-olive,0.23133,1.19,4,16,160,1.286081801011215e-05,0.401447940008214
2,13.56,tall-actor,0.18162,1.24,8,32,80,1.286081801011215e-05,0.3212459342889528
1,23.33,antique-darter,0.05734,0.81,4,16,160,0.00039602449941483276,0.2280525416753824
2,16.35,free-cordon,0.0908,1.05,8,32,80,0.00040245490841988885,0.3816231177459596
0,21.24,finite-winner,0.19318,1.04,16,64,40,0.0003512333746209939,0.366792795556594
0,41.94,central-debug,0.06821,0.81,16,64,40,1.286081801011215e-05,0.3724646144068008
0,16.74,bisque-voice,0.14394,0.83,16,64,40,1.286081801011215e-05,0.3050219157949404
0,5.13,minty-object,0.04729,1.22,16,64,40,0.00039602449941483276,0.449266719695125
1,18.78,soft-variable,0.0029,0.9,4,16,160,0.0003895940904097767,0.4442649882964304
2,29.26,nuclear-damper,0.01903,1.18,8,32,80,5.765194280395102e-05,0.297892937782416
0,34.56,nuclear-angora,0.03591,0.59,16,64,40,1.286081801011215e-05,0.4054580726095466
0,30.62,salmon-torpedo,0.02836,0.8,16,64,40,0.00033859429485243544,0.356788946108118
1,27.16,glowing-agent,0.04767,0.74,4,16,160,0.00020444265871247247,0.3705015951718242
1,17.06,modern-pool,0.0222,1.19,4,16,160,0.00017251235192874574,0.2916394413003182
2,14.93,icy-rack,0.39548,1.04,8,32,80,0.00024280337450125527,0.3504010583764445
2,10.03,fixed-balustrade,0.09875,0.88,8,32,80,0.00023637296549619918,0.2536164677999389
2,17.46,frozen-sea,0.09034,0.7,8,32,80,0.00033216388584737935,0.3252368451051432
1,30.4,concentric-envelope,0.16267,0.9,4,16,160,1.286081801011215e-05,0.5337155595932059
2,34.45,central-tree,0.21583,0.88,8,32,80,8.958224958767774e-05,0.3908694951925645
0,8.69,selfish-casket,0.14914,0.97,16,64,40,0.0003512333746209939,0.313766606199698
0,14.55,claret-degree,0.0521,0.86,16,64,40,0.0003640941926311061,0.2712776358926034
0,11.53,interior-python,0.20492,0.96,16,64,40,5.765194280395102e-05,0.3439845229066541
2,36.68,critical-starling,0.00497,1.17,8,32,80,1.286081801011215e-05,0.3401872133058108
0,14.68,binary-agent,0.00287,1.18,16,64,40,0.00040245490841988885,0.3678466187146113
0,14.12,jolly-bamboo,0.35134,1.11,16,64,40,3.193030678372672e-05,0.2877349840230125
0,19.21,sweet-limiter,0.16971,0.86,16,64,40,1.9291227015168225e-05,0.408636072484952
2,11.53,shy-grain,0.08812,1.15,8,32,80,1.286081801011215e-05,0.2656994830677278
0,29.69,crispy-silver,0.00825,0.68,16,64,40,0.00017894276093380183,0.3515272900789782
0,27.61,free-wash,0.09296,0.7,16,64,40,2.57216360202243e-05,0.3495518627227091
2,31.28,vertical-capital,0.09765,1.1,8,32,80,0.00017894276093380183,0.2967636818160074
0,23.65,mechanical-post,0.1522,1.03,16,64,40,0.0003066639880687087,0.3388569124314048
1,16.06,chill-reflection,0.1513,0.59,4,16,160,0.00012151255637140446,0.2961612421975031
1,3.88,ragged-language,0.07245,0.91,4,16,160,0.00021730347672258463,0.2392037781485259
2,24.87,free-type,0.01882,0.94,8,32,80,0.0002299425564911431,0.4829540652210405
1,38.92,magenta-tie,0.07796,1.33,4,16,160,0.00024923378350631133,0.3529846709710675
1,34.01,buoyant-swallow,0.10587,0.73,4,16,160,0.00025544245426981375,0.4236816297584047
2,27.47,covering-hardball,0.01819,0.68,8,32,80,0.00016608194292368967,0.1575932625703988
0,18.78,buttery-tuple,0.01839,0.74,16,64,40,0.000274733681284982,0.4192568485105684
1,18.9,matching-outline,0.0072,0.98,4,16,160,0.00012772122713490688,0.2837048280519508
0,25.03,plain-plate,0.02857,0.88,16,64,40,5.122153379889495e-05,0.3503477939486917
2,0.19,auburn-cannon,0.28425,1.24,8,32,80,0.00012151255637140446,0.592010534317524
0,27.64,slow-sniffer,0.27927,0.84,16,64,40,0.0003640941926311061,0.2706756130031321
0,21.89,rich-accent,0.02659,1.02,16,64,40,0.00039602449941483276,0.3510412278007324
0,27.59,smoggy-synergy,0.05595,0.84,16,64,40,1.9291227015168225e-05,0.4552151483436303
0,28.75,formal-swale,0.0149,1.08,16,64,40,0.0003450247038574915,0.4290259355987776
0,7.93,humane-bin,0.07116,1.14,16,64,40,0.00024923378350631133,0.3928937822470842
0,22.34,burning-viaduct,0.0312,1.05,16,64,40,0.0003895940904097767,0.266971874933828
1,36.0,celeste-guaranty,0.07825,0.51,4,16,160,0.00013415163613996294,0.3572540048826225
2,26.63,balanced-goldfinch,0.05768,0.93,8,32,80,6.386061356745344e-05,0.3691781766549475
0,16.39,citric-story,0.05094,0.91,16,64,40,0.0002938031700585965,0.3969996366251939
1,17.85,kind-jackal,0.01924,1.22,4,16,160,0.00017251235192874574,0.2620483660034649
0,29.84,hoary-palm,0.10831,1.01,16,64,40,0.0003450247038574915,0.2598806980889116
2,19.16,edible-sill,0.00487,0.93,8,32,80,1.286081801011215e-05,0.4331635174368574
2,21.53,connected-beans,0.05424,0.88,8,32,80,0.00033216388584737935,0.365041753926179
0,22.33,bronze-intersection,0.05171,0.75,16,64,40,7.67214315775656e-05,0.3430041184318234
2,15.63,potential-lard,0.13039,1.4,8,32,80,0.00019158184070236031,0.2938290515089899
0,19.05,inscribed-height,0.02188,1.1,16,64,40,7.029102257250952e-05,0.2902519485596861
0,23.79,dyadic-power,0.01319,1.31,16,64,40,0.00024280337450125527,0.4854308133414561
2,32.9,savory-camera,0.10511,1.21,8,32,80,0.0003193030678372672,0.2927249107683624
1,7.88,coped-guard,0.11912,0.69,4,16,160,0.0003450247038574915,0.3688808057621502
2,9.99,electric-assistant,0.04016,0.77,8,32,80,0.0002683032722799259,0.3272682102359612
2,22.41,icy-backpack,0.08462,0.95,8,32,80,4.479112479383887e-05,0.4749543948226272
0,35.01,greedy-gain,0.03404,1.27,16,64,40,0.00032573347684232326,0.5082407234917536
2,22.04,nearest-convolution,0.12141,0.94,8,32,80,0.0003640941926311061,0.4064213121634804
2,18.46,thin-bright,0.06499,0.98,8,32,80,0.00032573347684232326,0.3146808916417224
2,24.39,dark-trellis,0.01627,1.08,8,32,80,0.00011508214736634838,0.3098236654280987
2,21.0,associative-thyme,0.01707,1.06,8,32,80,0.0003450247038574915,0.2908705696160312
1,39.63,vivid-play,0.04718,1.32,4,16,160,0.0002873727610535405,0.5685400522948408
2,31.72,silent-sage,0.14498,0.95,8,32,80,0.0003193030678372672,0.319205247811875
0,16.76,chilly-combination,0.00988,1.26,16,64,40,1.286081801011215e-05,0.346917267024715
1,23.38,naive-centroid,0.0178,1.11,4,16,160,0.00033859429485243544,0.7000827602512958
0,20.02,callous-citrus,0.11259,1.03,16,64,40,1.286081801011215e-05,0.3293778449106945
1,0.0,humane-design,0.1798,0.88,4,16,160,0.00039602449941483276,0.4510069371489964
0,8.72,jet-console,0.34504,0.64,16,64,40,0.00024923378350631133,0.2700332081101584
2,5.5,slim-loop,0.16474,0.96,8,32,80,1.9291227015168225e-05,0.3528199138385169
1,11.61,messy-transfer,0.00219,0.88,4,16,160,7.67214315775656e-05,0.3650106767792558
1,36.8,dark-chest,0.28496,0.89,4,16,160,0.0003512333746209939,0.6716469993849631
1,30.18,marked-perch,0.02536,1.18,4,16,160,0.0003769550106412182,0.4404036470340898
1,36.99,human-performance,0.06091,0.87,4,16,160,0.0003769550106412182,0.4239030677822142
0,21.55,rank-pitch,0.05892,0.8,16,64,40,0.00040245490841988885,0.4184023108092178
2,8.24,chocolaty-directory,0.01226,1.01,8,32,80,0.0001596515339186336,0.3495836385092026
2,21.48,calm-lease,0.00876,1.16,8,32,80,0.0003769550106412182,0.4402178206447723
1,16.29,regional-object,0.00371,1.25,4,16,160,3.193030678372672e-05,0.3841235404590957
1,37.84,complicated-hybrid,0.06083,0.94,4,16,160,0.00033216388584737935,0.3128278655107882
0,21.19,old-animation,0.01479,1.06,16,64,40,0.00017251235192874574,0.2797155722844761
0,20.27,breezy-span,0.01379,0.93,16,64,40,0.0003895940904097767,0.3220746353370509
1,30.54,animato-wine,0.02413,1.01,4,16,160,0.00028116409029003807,0.350408189788685
2,16.34,crispy-motor,0.03254,0.51,8,32,80,1.286081801011215e-05,0.3080677185697033
2,8.03,ragged-caulk,0.14458,1.35,8,32,80,3.193030678372672e-05,0.3407819457529485
1,21.07,inverted-print,0.04003,0.85,4,16,160,0.00011508214736634838,0.4674716693701439
2,23.11,proper-guide,0.02348,0.87,8,32,80,0.00010865173836129231,0.3536075310609596
0,21.2,polite-jamb,0.04267,0.89,16,64,40,1.286081801011215e-05,0.3444351496880711
0,14.69,oscillating-grapnel,0.05408,1.17,16,64,40,0.0001596515339186336,0.3196168080101956
2,26.07,organic-falls,0.10784,0.96,8,32,80,1.286081801011215e-05,0.4808640370804135
1,23.23,faded-wallpaper,0.10321,0.83,4,16,160,1.9291227015168225e-05,0.2936488311969908
1,11.62,booming-snippet,0.11204,1.19,4,16,160,0.0003002335790636526,0.536706926907451
0,33.54,quick-step,0.10543,1.11,16,64,40,6.386061356745344e-05,0.4284327282727821
2,19.57,pink-emrasure,0.03289,0.79,8,32,80,0.0003895940904097767,0.3107767691925628
1,12.88,alternating-axe,0.00146,0.97,4,16,160,0.0002683032722799259,0.45381542111486
0,0.0,balanced-tournament,0.07062,0.79,16,64,40,8.315184058262166e-05,0.5288064424913443
0,26.72,legato-glass,0.00898,0.86,16,64,40,0.00012772122713490688,0.2433213995644409
1,26.31,strong-velour,0.07711,1.03,4,16,160,0.00017894276093380183,0.2545142000448629
0,25.12,topped-starter,0.00617,0.83,16,64,40,0.00013415163613996294,0.2784798161470988
0,17.66,daring-map,0.27378,0.82,16,64,40,0.0003193030678372672,0.734203262953745
2,28.02,zingy-warp,0.10642,0.95,8,32,80,0.0003640941926311061,0.2824768769047093
2,20.72,nutty-flour,0.00256,1.31,8,32,80,1.9291227015168225e-05,0.2951799077364647
0,2.37,oily-rifle,0.03975,1.14,16,64,40,1.286081801011215e-05,0.2743206111056587
0,29.23,free-ancestor,0.10871,1.22,16,64,40,0.00024923378350631133,0.2485808874175435
2,31.5,plain-scenario,0.11419,0.87,8,32,80,1.286081801011215e-05,0.4163053256008334
2,16.16,sad-drill,0.27905,0.77,8,32,80,1.286081801011215e-05,0.4504171069862858
1,4.47,piercing-moss,0.04153,0.87,4,16,160,0.00025544245426981375,0.4612696071438918
0,27.38,spicy-cume,0.00081,0.88,16,64,40,0.00017894276093380183,0.3364705731257774
1,15.76,black-yaw,0.10598,0.97,4,16,160,1.286081801011215e-05,0.4226853141622754
0,30.15,simple-bass,0.07207,1.15,16,64,40,0.0003002335790636526,0.403794330523182
0,30.23,citron-siege,0.10793,0.97,16,64,40,7.67214315775656e-05,0.2688020402922432
0,6.91,worried-manor,0.11188,0.84,16,64,40,0.0003705246016361621,0.3596043096159861
1,29.92,denim-ketchup,0.03701,0.79,4,16,160,0.00040245490841988885,0.5808987588344771
1,34.68,animato-element,0.00284,1.03,4,16,160,1.286081801011215e-05,0.4312248985394352
2,20.15,oscillating-fort,0.03807,0.89,8,32,80,1.9291227015168225e-05,0.3578184953682348
0,16.16,proper-triplex,0.07251,1.28,16,64,40,0.0003705246016361621,0.3156170070409216
1,10.47,crispy-neutrino,0.04764,1.0,4,16,160,1.286081801011215e-05,0.328917638326797
1,31.79,smoggy-fur,0.03655,1.17,4,16,160,0.0002873727610535405,0.5116108602737098
0,0.0,blazing-queue,0.02602,1.11,16,64,40,0.00017894276093380183,0.2827566419983733
1,8.12,furious-repeat,0.01258,0.78,4,16,160,0.00040245490841988885,0.4663575579515385
1,22.12,zingy-chain,0.04282,1.03,4,16,160,0.00039602449941483276,0.3539047938863305
2,36.81,purple-defense,0.00842,1.09,8,32,80,1.286081801011215e-05,0.2722271142106107
0,19.83,ragged-rafter,0.14256,0.91,16,64,40,1.286081801011215e-05,0.4285841840882167
2,5.65,knurled-box,0.00211,1.37,8,32,80,3.193030678372672e-05,0.3374434391038428
2,25.04,bland-area,0.19275,1.0,8,32,80,0.00019158184070236031,0.4532852358506806
0,13.4,parallel-cue,0.16407,0.87,16,64,40,0.00035766378362605,0.3105173303138729
2,43.04,champagne-semaphore,0.08348,1.11,8,32,80,2.57216360202243e-05,0.4209789146648662
1,33.28,refined-road,0.35596,1.1,4,16,160,1.286081801011215e-05,0.595128600595165
1,24.25,bare-scenario,0.0983,1.11,4,16,160,0.00010222132935623624,0.4568530258088746
2,7.71,syrupy-module,0.01984,1.19,8,32,80,3.83607157887828e-05,0.4001377445282177
2,34.63,smart-commission,0.01214,1.06,8,32,80,0.00039602449941483276,0.5218918441625727
0,25.56,direct-eel,0.02092,0.95,16,64,40,0.00028116409029003807,0.461542702562301
0,12.84,complicated-innovation,0.00953,1.11,16,64,40,0.0002683032722799259,0.4783943757167929
0,4.77,topped-percussion,0.05495,0.97,16,64,40,0.0001470124541500751,0.4110075351888607
1,27.8,huge-fader,0.01209,1.09,4,16,160,0.0003640941926311061,0.7105527251324325
1,22.76,calm-briefcase,0.02972,1.25,4,16,160,0.00010865173836129231,0.3338671060727076
1,14.08,selfish-gutter,0.00044,0.71,4,16,160,0.0002938031700585965,0.6395123749849728
1,11.36,creamy-serval,0.06496,1.18,4,16,160,0.00026187286327486985,0.3828411021868769
0,22.55,complete-bayes,0.0092,0.87,16,64,40,0.00023637296549619918,0.2886750861432964
1,15.56,sad-filter,0.20594,0.92,4,16,160,0.00023637296549619918,0.4245926443384029
0,1.71,persistent-stork,0.04948,0.91,16,64,40,1.286081801011215e-05,0.4005542137968508
2,38.25,endothermic-starter,0.23627,0.73,8,32,80,1.9291227015168225e-05,0.4022064653725142
2,27.16,latent-premise,0.03832,1.26,8,32,80,1.286081801011215e-05,0.3740386717974772
2,17.96,abstract-second,0.00675,1.13,8,32,80,0.00040245490841988885,0.2382876753375111
2,41.0,desert-aerator,0.09224,1.41,8,32,80,0.00019158184070236031,0.4213264320879275
0,19.88,interior-tincan,0.00209,1.01,16,64,40,1.286081801011215e-05,0.397367644893213
1,43.58,pureed-source,0.21484,0.79,4,16,160,0.00024280337450125527,0.3603587680359259
1,21.86,short-electron,0.16282,0.84,4,16,160,0.00040245490841988885,0.4278182564438833
2,15.37,quantum-comment,0.07849,1.15,8,32,80,0.00011508214736634838,0.3036464994230328
2,34.04,succulent-solid,0.01586,0.98,8,32,80,8.315184058262166e-05,0.4472162791158521
0,26.35,brave-pseudonym,0.01617,1.2,16,64,40,0.00011508214736634838,0.3561015772072933
1,11.48,stale-tabby,0.05604,1.03,4,16,160,7.67214315775656e-05,0.2634485771206298
0,19.08,shrewd-jaguar,0.23788,1.3,16,64,40,0.00010222132935623624,0.4177329869629899
1,24.78,elaborate-walnut,0.01665,0.95,4,16,160,0.00032573347684232326,0.4634671221754354
0,15.42,abstract-quasar,0.09499,0.99,16,64,40,0.0003895940904097767,0.7391788674116894
2,0.0,diachronic-barn,0.04466,1.09,8,32,80,0.0003512333746209939,0.4150740958013889
2,0.0,rancid-bargain,0.02037,1.28,8,32,80,1.286081801011215e-05,0.4056073879064392
0,18.07,brass-bed,0.09016,1.11,16,64,40,4.479112479383887e-05,0.3363785712586027
0,21.77,unproductive-protagonist,0.13264,0.8,16,64,40,1.286081801011215e-05,0.3068505538840142
1,21.12,avocado-home,0.08293,0.83,4,16,160,0.00035766378362605,0.3605178589835989
2,15.27,glowing-scotia,0.08917,0.77,8,32,80,2.57216360202243e-05,0.2391309673123615
0,24.58,ascent-rack,0.03398,0.88,16,64,40,9.579092035118016e-05,0.4341960180305781
1,6.38,teal-lumber,0.01623,1.15,4,16,160,0.00040245490841988885,0.3368386467308714
0,11.6,cold-warp,0.02116,0.73,16,64,40,0.0002683032722799259,0.3303090953080553
0,27.86,legacy-gin,0.18027,0.87,16,64,40,0.0001596515339186336,0.3858631875093679
2,21.28,booming-ray,0.05164,0.98,8,32,80,0.0003130943970737648,0.5366787791003375
0,17.61,ornery-ragged,0.19202,0.74,16,64,40,0.0003895940904097767,0.2512270206589252
2,21.28,gritty-gate,0.01947,0.7,8,32,80,5.765194280395102e-05,0.3340828165028988
0,16.62,bitter-dog,0.0555,1.24,16,64,40,0.00039602449941483276,0.3491670283685453
0,21.03,fresh-guaranty,0.16628,1.12,16,64,40,0.0003640941926311061,0.5277643979329386
0,14.2,chief-cadence,0.01109,1.28,16,64,40,0.00032573347684232326,0.6484242617182014
0,30.01,fried-landform,0.01319,1.18,16,64,40,0.0002938031700585965,0.2490295921384881
2,13.84,immature-denim,0.08302,0.8,8,32,80,0.00040245490841988885,0.2040609092575008
2,29.82,acidic-action,0.08599,0.97,8,32,80,0.00012151255637140446,0.4928808390616421
1,26.42,direct-bay,0.1589,0.87,4,16,160,5.765194280395102e-05,0.2193209750807024
1,16.97,rigid-prior,0.07305,1.15,4,16,160,7.029102257250952e-05,0.504113570186218
1,21.62,adventurous-wash,0.093,1.0,4,16,160,0.0003640941926311061,0.3744638692578119
1,27.13,inventive-accrual,0.18197,1.07,4,16,160,0.0001853731699388579,0.349226373472939
1,25.73,witty-olive,0.07553,1.09,4,16,160,0.00022351214748608705,0.331607480342834
2,17.58,zingy-palisade,0.32846,1.07,8,32,80,7.029102257250952e-05,0.2887234565716237
2,19.06,bold-theme,0.2307,1.1,8,32,80,0.00039602449941483276,0.3117115570604678
0,8.7,frosty-kitchen,0.05725,1.11,16,64,40,0.00038316368140472063,0.3321086411956703
2,10.29,caramelized-dominant,0.07138,1.15,8,32,80,0.00040245490841988885,0.3992244102835247
0,24.61,diachronic-volume,0.1426,1.38,16,64,40,0.00016608194292368967,0.4304566667167131
0,33.22,naive-fjord,0.02346,1.08,16,64,40,0.0003130943970737648,0.310656680492411
2,32.75,crispy-map,0.03681,1.27,8,32,80,8.315184058262166e-05,0.5503553317619782
0,17.66,adjacent-bone,0.06413,1.04,16,64,40,4.479112479383887e-05,0.3998234029639392
0,22.0,finite-lintel,0.10434,0.9,16,64,40,0.00023637296549619918,0.4030123383643515
1,19.19,joint-pheasant,0.06485,0.79,4,16,160,0.00039602449941483276,0.3592079460982159
0,16.31,strong-console,0.26502,0.83,16,64,40,4.479112479383887e-05,0.2383668257646001
0,22.68,oscillating-cove,0.16399,1.46,16,64,40,0.0001596515339186336,0.3159322423423731
2,25.54,gravitational-cage,0.00961,1.29,8,32,80,0.0003769550106412182,0.2613853982495005
1,14.02,extremal-leave,0.0559,0.86,4,16,160,0.0001534428631551312,0.3034461358159513
0,22.07,diagonal-tarragon,0.02871,0.87,16,64,40,0.0003002335790636526,0.3956655303167529
0,21.35,forgiving-sound,0.06818,0.93,16,64,40,0.000274733681284982,0.4587510177912538
1,0.0,sensitive-trigger,0.04388,1.03,4,16,160,0.0003002335790636526,0.4999142436420107
1,18.24,ferocious-chablis,0.06513,1.3,4,16,160,9.579092035118016e-05,0.3514508949394878
2,14.56,graceful-cornice,0.26852,1.33,8,32,80,0.00012772122713490688,0.3719330980289895
2,26.07,another-atoll,0.18384,0.71,8,32,80,0.00033859429485243544,0.3533253293929705
2,25.18,corn-flank,0.01883,0.79,8,32,80,0.00038316368140472063,0.4984937472653677
0,27.86,freezing-vertex,0.06631,0.66,16,64,40,1.286081801011215e-05,0.2672183575538702
0,38.03,worried-graph,0.00846,1.25,16,64,40,0.0001470124541500751,0.3050080983015389
2,15.01,nullary-template,0.16713,0.84,8,32,80,0.00024923378350631133,0.4796944282025948
2,19.89,primordial-motion,0.03609,1.08,8,32,80,0.0003895940904097767,0.4224232042269949
2,30.79,glowing-bus,0.08339,0.95,8,32,80,0.00014058204514501903,0.2298739950039332
2,16.29,new-center,0.03979,1.43,8,32,80,1.286081801011215e-05,0.3342168595765974
1,18.48,helpful-advance,0.26949,0.64,4,16,160,0.00040245490841988885,0.4260659505688673
0,16.9,complicated-chino,0.12511,1.05,16,64,40,7.029102257250952e-05,0.2351404455300961
2,27.57,regular-container,0.1036,1.19,8,32,80,3.193030678372672e-05,0.4638230081395627
2,33.41,concrete-fantail,0.28909,0.97,8,32,80,0.00033216388584737935,0.0965944673435024
2,19.52,tender-git,0.12287,0.95,8,32,80,1.286081801011215e-05,0.4746904690745228
1,28.08,poached-opportunity,0.09493,0.72,4,16,160,0.0003640941926311061,0.332699997738497
